,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
0,1.0,Golden State Warriors,28.3,21.0,4.0,21,4,12.92,-1.17,11.75,113.1,100.2,12.9,99.7,0.239,0.473,0.59,,0.561,14.4,23.5,0.181,,0.492,14.6,80.2,0.183,,Chase Center,289024,18064.0
1,2.0,Utah Jazz,29.7,18.0,7.0,20,5,10.6,-1.13,9.47,117.3,106.5,10.8,98.0,0.248,0.497,0.603,,0.572,13.6,24.6,0.193,,0.5,11.0,78.8,0.16,,Vivint Smart Home Arena,237978,18306.0
2,3.0,Phoenix Suns,27.8,20.0,4.0,17,7,6.38,-0.24,6.13,110.9,104.6,6.3,100.5,0.231,0.346,0.574,,0.543,12.4,20.2,0.179,,0.504,13.9,76.7,0.162,,Phoenix Suns Arena,186077,14314.0
3,4.0,Chicago Bulls,26.4,17.0,9.0,16,10,3.65,-0.47,3.19,110.4,106.7,3.7,98.6,0.231,0.338,0.567,,0.53,12.2,20.7,0.189,,0.512,13.8,78.5,0.193,,United Center,249939,20828.0
4,5.0,Milwaukee Bucks,28.3,16.0,10.0,16,10,3.69,-0.83,2.86,110.4,106.7,3.7,99.4,0.239,0.448,0.562,,0.532,12.9,23.0,0.179,,0.509,12.0,78.5,0.156,,Fiserv Forum,225433,17341.0
5,6.0,Brooklyn Nets,30.7,17.0,8.0,15,10,3.12,-0.78,2.34,110.2,107.0,3.2,98.9,0.253,0.384,0.571,,0.533,12.6,19.4,0.204,,0.492,11.4,76.9,0.185,,Barclays Center,220540,16965.0
6,7.0,Cleveland Cavaliers,24.6,14.0,12.0,16,10,2.92,1.03,3.95,108.3,105.3,3.0,96.9,0.232,0.402,0.56,,0.526,14.4,23.7,0.182,,0.508,13.0,77.3,0.149,,Quicken Loans Arena,230904,17762.0
7,8.0,Miami Heat,28.7,15.0,11.0,15,11,2.73,0.16,2.89,110.7,107.9,2.8,96.1,0.242,0.408,0.57,,0.534,13.8,24.0,0.195,,0.523,14.5,77.5,0.195,,FTX Arena,215600,19600.0
8,9.0,Atlanta Hawks,26.3,13.0,12.0,15,10,2.56,0.44,3.0,114.4,111.8,2.6,97.1,0.22,0.367,0.569,,0.536,11.1,23.9,0.176,,0.525,10.8,78.2,0.157,,State Farm Arena,192888,16074.0
